RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,N2OEC,N2EC,NOEC,NDNC,NITC,N2ODC,N2ONC,N2FLC,NOFLC,N2OED,N2ED,NOED,NDND,NITRD,N2ODD,N2OND,N2FLD,NOFLD,NDN1D,NDN2D,NDN3D,NDN4D,NDN5D,NDN6D,NDN7D,NDN8D,NDN9D,NIT1D,NIT2D,NIT3D,NIT4D,NIT5D,NIT6D,NIT7D,NIT8D,NIT9D,N2O1D,N2O2D,N2O3D,N2O4D,N2O5D,N2O6D,N2O7D,N2O8D,N2O9D,N2F1D,N2F2D,N2F3D,N2F4D,N2F5D,N2F6D,N2F7D,N2F8D,N2F9D,NOF1D,NOF2D,NOF3D,NOF4D,NOF5D,NOF6D,NOF7D,NOF8D,NOF9D
1,TEST01MZ,1,0,1,2001,114,1,0.442988894E-4,0.00000000,0.558031425E-4,0.00000000,1.08822978,0.00000000,0.108822959E-2,0.00000000,0.110448571E-2,0.442988910E-1,0.00000000,0.558031425E-1,0.00000000,1088,0.00000000,1.08822954,0.00000000,1.10448575,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,282.718567,550.450989,88.8304062,33.9304543,32.5486107,30.8301620,29.0822067,27.8257046,12.0125551,0.282718599,0.550450981,0.888304040E-1,0.339304581E-1,0.325486101E-1,0.308301635E-1,0.290822089E-1,0.278257057E-1,0.120125562E-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.356198609,0.693516016,0.145067926E-1,0.554114440E-2,0.531547610E-2,0.503483880E-2,0.474938238E-2,0.454418454E-2,0.150792450E-1
1,TEST01MZ,1,0,1,2001,115,2,0.159718649E-3,0.00000000,0.510897313E-3,0.00000000,2.74096394,0.00000000,0.274096383E-2,0.00000000,0.744585367E-2,0.115419768,0.00000000,0.455094159,0.00000000,1653,0.00000000,1.65273416,0.00000000,6.34136772,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,341.956451,713.494080,171.413681,73.3316956,69.9033585,79.2065125,73.4192810,69.2844467,60.7245560,0.341956466,0.713494062,0.171413690,0.733316988E-1,0.699033663E-1,0.792065188E-1,0.734192878E-1,0.692844465E-1,0.607245602E-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.26922870,3.36615777,0.136141166,0.570587665E-1,0.543912053E-1,0.616299137E-1,0.571269207E-1,0.539096370E-1,0.285724163
1,TEST01MZ,1,0,1,2001,116,3,0.230392849E-3,0.00000000,0.635113509E-3,0.00000000,11.2578907,0.00000000,0.112578906E-1,0.00000000,0.293596182E-1,0.706742033E-1,0.00000000,0.124216214,0.00000000,8517,0.00000000,8.51692772,0.00000000,21.9137650,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2686.23804,5085.00977,217.397781,85.7832260,76.9145660,112.380791,92.6590195,84.4730759,76.0712585,2.68623805,5.08500957,0.217397779,0.857832357E-1,0.769145712E-1,0.112380795,0.926590189E-1,0.844730735E-1,0.760712549E-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.67676067,19.5936890,0.191317588,0.578893796E-1,0.493838675E-1,0.809345543E-1,0.603761822E-1,0.537873954E-1,0.149626732
1,TEST01MZ,1,0,1,2001,117,4,0.740072166E-3,0.00000000,0.140872272E-2,0.00000000,16.4719639,0.00000000,0.164719634E-1,0.00000000,0.344418436E-1,0.509679317,0.00000000,0.773609221,0.00000000,5214,0.00000000,5.21407175,0.00000000,5.08222532,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3430.57031,1021.39294,183.842697,88.2661591,77.5983963,130.784622,105.071312,93.1384583,83.4067993,3.43057036,1.02139294,0.183842719,0.882661641E-1,0.775983930E-1,0.130784631,0.105071321,0.931384638E-1,0.834068060E-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.09634018,0.470337152,0.136594445,0.514260493E-1,0.415424146E-1,0.859881490E-1,0.584197752E-1,0.490148440E-1,0.925619155E-1
1,TEST01MZ,1,0,1,2001,118,5,0.215003779E-2,0.530645048E-5,0.421651546E-2,0.598079152E-1,21.7901649,0.574366050E-2,0.217901655E-1,0.540642627E-1,0.473060161E-1,1.40996552,0.530645065E-2,2.80779290,59.8079147,5318,5.74366045,5.31820202,54.0642624,12.8641720,0.00000000,0.00000000,32.3290901,10.4223728,5.62552547,4.10943651,3.72494340,3.59655309,0.00000000,3112.63892,1298.60669,180.106461,104.805450,97.3060913,157.094421,137.735352,127.101929,102.806679,3.11263895,1.29860675,5.21554327,0.575859308,0.228577033,0.202087983,0.169808745,0.155933619,0.102806680,0.00000000,0.00000000,27.2936516,9.95131969,5.49425459,4.06444311,3.69287014,3.56772137,0.00000000,9.40898418,0.636664391,2.10191154,0.211948469,0.934998244E-1,0.125622675,0.917294919E-1,0.799181089E-1,0.113893583
1,TEST01MZ,1,0,1,2001,119,6,0.372799998E-2,0.428943058E-4,0.751618668E-2,0.110282131,26.4634628,0.109361587E-1,0.264634620E-1,0.993459821E-1,0.566182733E-1,1.57796216,0.375878550E-1,3.29967141,50.4742165,4673,5.19249821,4.67329693,45.2817116,9.31225491,0.00000000,0.00000000,26.4829140,9.43840218,4.86525202,3.60108423,3.13742137,2.94913960,0.00000000,2053.23169,1585.31177,178.844879,118.569923,113.285927,181.063202,166.096069,156.178696,120.714760,2.05323172,1.58531189,4.62774324,0.629491270,0.243830562,0.227056965,0.196402982,0.182011545,0.120714769,0.00000000,0.00000000,22.0340157,8.92748070,4.73470736,3.55509043,3.10711455,2.92330670,0.00000000,5.14322329,0.951666772,2.31727171,0.282846153,0.117534019,0.151538268,0.116152301,0.102960631,0.129061848
1,TEST01MZ,1,0,1,2001,120,7,0.541336648E-2,0.178730741E-3,0.110005597E-1,0.152073503,30.5797806,0.153112132E-1,0.305797812E-1,0.136762306,0.639896542E-1,1.68536651,0.135836437,3.48437333,41.7913628,4116,4.37505531,4.11631870,37.4163132,7.37138319,0.00000000,0.00000000,20.7987919,7.93482637,4.08011818,3.07837296,2.64779019,2.45415521,0.797312677,1379.31348,1645.26477,167.859863,122.961533,119.624855,192.899597,182.109970,173.496643,132.788101,1.37931359,1.64526474,3.83262324,0.606111228,0.242826521,0.238026991,0.211081922,0.197498500,0.138627380,0.00000000,0.00000000,17.1340275,7.45167685,3.95691633,3.03324556,2.61881804,2.43015337,0.791473389,2.82906461,1.23121166,2.30388618,0.324219018,0.132581398,0.164345697,0.130966201,0.117878109,0.137230501
1,TEST01MZ,1,0,1,2001,121,8,0.739704631E-2,0.728078652E-3,0.147266183E-1,0.214123487,34.4204903,0.320890844E-1,0.344204903E-1,0.182034418,0.817597210E-1,1.98368001,0.549347878,3.72605896,62.0499878,3841,16.7778740,3.84070921,45.2721138,17.7700653,0.00000000,27.8124371,16.4795246,6.59188938,3.43727922,2.65202236,2.27910256,2.09669781,0.701037645,1016.65070,1665.30481,163.385696,128.874435,126.488548,206.788849,197.919418,189.528534,145.768143,1.01665068,14.8098583,3.14858031,0.562244952,0.240459576,0.250551254,0.226025149,0.212511659,0.151700497,0.00000000,14.6678829,13.4943295,6.15851927,3.32330823,2.60825992,2.25099683,2.07371473,0.695105314,1.69362915,12.8064747,2.19813728,0.346597880,0.143592522,0.173203766,0.141859874,0.128822476,0.137747824
1,TEST01MZ,1,0,1,2001,122,9,0.970697682E-2,0.181305734E-2,0.187013298E-1,0.243044570,38.4274139,0.351540409E-1,0.384274125E-1,0.207890525,0.887462869E-1,2.30993056,1.08497870,3.97471142,28.9210758,4007,3.06495643,4.00692225,25.8561172,6.98656321,0.00000000,0.00000000,13.4847727,5.59235620,2.97717452,2.35255623,2.02852201,1.85572851,0.629962742,838.657410,1882.24158,170.975296,142.574203,140.073685,232.256607,222.484253,212.408783,165.250015,0.838657498,1.88224173,2.64288521,0.529190063,0.246492907,0.275350511,0.250515848,0.235199764,0.171344787,0.00000000,0.00000000,11.0128622,5.20574045,2.87075520,2.30946231,2.00049043,1.83293760,0.623867989,1.29240918,2.36275983,2.09330916,0.374709159,0.166994318,0.206596911,0.173180223,0.157856733,0.158747241
1,TEST01MZ,1,0,1,2001,123,10,0.122707048E-1,0.343662780E-2,0.228283461E-1,0.269799143,42.1547279,0.376550183E-1,0.421547294E-1,0.232144088,0.950854942E-1,2.56372833,1.62357056,4.12701607,26.7545376,3727,2.50098062,3.72731543,24.2535629,6.33920956,0.00000000,0.00000000,10.0944090,5.58077765,3.24246168,2.46011519,2.25535321,2.14126563,0.980157375,685.327759,1689.34839,174.556778,149.147903,144.955246,248.564621,235.595657,222.835983,176.983215,0.685327828,1.68934834,2.02332497,0.551814139,0.269189745,0.298163563,0.270640820,0.252632380,0.187854424,0.00000000,0.00000000,8.24564075,5.17811155,3.11822724,2.41051626,2.22030783,2.11146951,0.969286203,1.04456544,2.12076068,1.81593096,0.411449581,0.186704591,0.234326199,0.193019256,0.172116786,0.160336167
