RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,NAPC,NI#M,NLCC,NIAD,NITD,NHTD,NI1D,NI2D,NI3D,NI4D,NI5D,NI6D,NI7D,NI8D,NI9D,NI10D,NH1D,NH2D,NH3D,NH4D,NH5D,NH6D,NH7D,NH8D,NH9D,NH10D,NMNC,NITC,NDNC,NIMC,AMLC,NNMNC,NUCM
1,TEST01MZ,1,0,1,2001,113,0,0,0,0.00000000,37.2539978,31.9619980,5.29199982,10.0000000,10.0000000,3.00000000,0.499999970,0.499999970,0.200000003,0.200000003,0.200000003,0.999999978E-2,-99,1.00000000,1.00000000,0.499999970,0.200000003,0.200000003,0.100000001,0.100000001,0.100000001,0.999999978E-2,-99,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,114,1,0,0,0.419999994E-1,39.6889915,33.0060387,6.68295240,10.6322975,10.2776279,2.83294892,0.632923245,0.499169201,0.221576095,0.197150573,0.193485871,0.659217834E-1,-99,1.28670955,1.25558364,0.512107968,0.236235574,0.235084176,0.140892446,0.138792068,0.137195513,0.496059917E-1,-99,2.47918272,1.08822978,0.00000000,0.00000000,0.00000000,2.47918272,0.00000000
1,TEST01MZ,1,0,1,2001,115,2,50,1,0.508584864E-1,91.6595306,59.8081627,31.8513660,26.1691513,21.2342072,2.75453329,0.771891773,0.547200859,0.244891077,0.215085223,0.209908366,0.937482268E-1,-99,20.9967613,9.01069164,0.486229330,0.254977852,0.253583372,0.171376929,0.168025225,0.165417969,0.784191117E-1,-99,4.70237827,2.74096394,0.00000000,0.00000000,0.235802710,4.70237827,0.00000000
1,TEST01MZ,1,0,1,2001,116,3,50,1,0.698000342E-1,93.8651123,68.3162231,25.5488930,18.4201450,27.5769863,4.63925362,1.02100825,0.609919548,0.277671516,0.237196848,0.229582489,0.123873509,-99,17.5349941,5.97900343,0.438228488,0.267649025,0.268665284,0.193950787,0.192708865,0.190055624,0.103583336,-99,7.05539703,11.2578907,0.00000000,0.00000000,0.333856314,7.05539703,0.00000000
1,TEST01MZ,1,0,1,2001,117,4,50,1,0.264487445,95.6217957,73.3982086,22.2235870,22.8472710,26.5219173,5.53473330,1.42007470,0.716772139,0.332101196,0.260556608,0.242437884,0.156363234,-99,12.8875542,5.73027754,0.402260065,0.275371045,0.279834211,0.208804563,0.211401254,0.209873140,0.124499753,-99,9.21930599,16.4719639,0.00000000,0.00000000,0.536095977,9.21930599,0.00000000
1,TEST01MZ,1,0,1,2001,118,5,50,1,0.441995412,97.2139511,78.5706024,18.6433468,27.4295807,26.1034107,6.05731392,1.71690559,0.827155471,0.388123095,0.292620987,0.265105695,0.188015446,-99,8.54549026,5.29798794,0.363606215,0.271786183,0.278395444,0.214411050,0.219613880,0.219154224,0.138575003,-99,11.2311916,21.7901649,0.598079152E-1,0.00000000,0.700333059,11.2311916,0.00000000
1,TEST01MZ,1,0,1,2001,119,6,50,1,0.600774169,98.9693069,83.0990143,15.8702898,30.4608898,26.2946758,6.41664076,1.94513142,0.934073508,0.446327657,0.331889570,0.296300471,0.221331596,-99,5.86638308,4.70292425,0.325306743,0.261524081,0.269287139,0.214291394,0.221072033,0.221500665,0.148345336,-99,13.2674522,26.4634628,0.110282131,0.00000000,0.758005977,13.2674522,0.00000000
1,TEST01MZ,1,0,1,2001,120,7,50,1,0.739837408,100.760391,87.0822296,13.6781626,32.5063477,26.8843575,6.63655376,2.11107850,1.02883351,0.503351629,0.374577105,0.332491726,0.256034404,-99,4.16678286,4.08399534,0.291404456,0.248384506,0.256443918,0.210710406,0.218144491,0.219197661,0.154740885,-99,15.2971134,30.5797806,0.152073503,0.00000000,0.804227591,15.2971134,0.00000000
1,TEST01MZ,1,0,1,2001,121,8,50,1,0.858717084,102.630463,90.7733688,11.8570938,34.0108833,27.7831573,6.73369932,2.22801614,1.11210346,0.559791327,0.420370907,0.373023838,0.293079615,-99,3.02606511,3.47812176,0.261206776,0.233891591,0.241744295,0.205147699,0.212659001,0.214161173,0.159010485,-99,17.4096527,34.4204903,0.214123487,0.00000000,0.844155312,17.4096527,0.00000000
1,TEST01MZ,1,0,1,2001,122,9,50,1,0.875894248,104.876190,94.7521820,10.1240120,35.4500923,29.0214958,6.72634792,2.33289433,1.19524145,0.617281616,0.473517686,0.423350066,0.336470336,-99,2.20914817,2.79525423,0.232689679,0.217872724,0.225343302,0.197962850,0.205355257,0.207326144,0.161939338,-99,19.7483883,38.4274139,0.243044570,0.00000000,0.880074859,19.7483883,0.00000000
