RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,OMAC,SCDD,SOCD,SC0D,SCTD,SOMCT,LCTD,ONAC,SNDD,SOND,SN0D,SNTD,SOMNT,LNTD
1,TEST01MZ,1,0,1,2001,113,0,0,14700,304440,0,304440,302400,2040.00000,0.00000000,1470.00000,30316.5000,0.00000000,30316.5000,30240.0000,76.5000000
1,TEST01MZ,1,0,1,2001,114,1,0,14708,304370,0,304370,302402,1967.27319,0.00000000,1470.24487,30314.0215,0.00000000,30314.0215,30239.3398,74.6818237
1,TEST01MZ,1,0,1,2001,115,2,0,14599,304314,0,304314,302401,1912.23950,0.00000000,1458.89978,30311.7988,0.00000000,30311.7988,30238.5430,73.2553558
1,TEST01MZ,1,0,1,2001,116,3,0,14672,304254,0,304254,302401,1853.00952,0.00000000,1465.83362,30309.4453,0.00000000,30309.4453,30237.7676,71.6784973
1,TEST01MZ,1,0,1,2001,117,4,0,14677,304201,0,304201,302400,1800.95996,0.00000000,1465.99207,30307.2812,0.00000000,30307.2812,30237.0254,70.2563934
1,TEST01MZ,1,0,1,2001,118,5,0,14682,304153,0,304153,302398,1754.72852,0.00000000,1466.14136,30305.2695,0.00000000,30305.2695,30236.3086,68.9609222
1,TEST01MZ,1,0,1,2001,119,6,0,14687,304105,0,304105,302397,1708.36060,0.00000000,1466.30090,30303.2324,0.00000000,30303.2324,30235.5977,67.6341476
1,TEST01MZ,1,0,1,2001,120,7,0,14692,304058,0,304058,302395,1662.68042,0.00000000,1466.46362,30301.2031,0.00000000,30301.2031,30234.9023,66.2999115
1,TEST01MZ,1,0,1,2001,121,8,0,14697,304010,0,304010,302394,1615.76270,0.00000000,1466.63403,30299.0918,0.00000000,30299.0918,30234.1895,64.9019775
1,TEST01MZ,1,0,1,2001,122,9,0,14704,303957,0,303957,302392,1564.68799,0.00000000,1466.95398,30296.7520,0.00000000,30296.7520,30233.4023,63.3494568
1,TEST01MZ,1,0,1,2001,123,10,0,14717,303903,0,303903,302389,1513.75122,0.00000000,1467.82739,30294.2930,0.00000000,30294.2930,30232.5234,61.7686081
1,TEST01MZ,1,0,1,2001,124,11,0,14722,303849,0,303849,302386,1462.49658,0.00000000,1467.99573,30291.7559,0.00000000,30291.7559,30231.6074,60.1475601
1,TEST01MZ,1,0,1,2001,125,12,0,14727,303796,0,303796,302382,1413.56714,0.00000000,1468.15356,30289.2051,0.00000000,30289.2051,30230.6367,58.5681305
1,TEST01MZ,1,0,1,2001,126,13,0,14745,303745,0,303745,302378,1367.21875,0.00000000,1469.68384,30286.6543,0.00000000,30286.6543,30229.6113,57.0433693
1,TEST01MZ,1,0,1,2001,127,14,0,14761,303693,0,303693,302373,1319.69995,0.00000000,1470.89453,30284.0371,0.00000000,30284.0371,30228.5859,55.4517136
1,TEST01MZ,1,0,1,2001,128,15,0,14765,303644,0,303644,302367,1276.75220,0.00000000,1471.00781,30281.4961,0.00000000,30281.4961,30227.5020,53.9933205
1,TEST01MZ,1,0,1,2001,129,16,0,14784,303599,0,303599,302360,1238.56641,0.00000000,1472.67676,30279.0469,0.00000000,30279.0469,30226.3750,52.6718826
1,TEST01MZ,1,0,1,2001,130,17,0,14788,303551,0,303551,302354,1197.30737,0.00000000,1472.79065,30276.5078,0.00000000,30276.5078,30225.2812,51.2270012
1,TEST01MZ,1,0,1,2001,131,18,0,14790,303515,0,303515,302346,1168.77710,0.00000000,1472.85364,30274.3613,0.00000000,30274.3613,30224.1484,50.2130623
1,TEST01MZ,1,0,1,2001,132,19,0,14793,303479,0,303479,302338,1140.59595,0.00000000,1472.91675,30272.2910,0.00000000,30272.2910,30223.0898,49.2011490
1,TEST01MZ,1,0,1,2001,133,20,0,14795,303448,0,303448,302331,1116.26270,0.00000000,1472.97839,30270.4277,0.00000000,30270.4277,30222.1113,48.3172150
1,TEST01MZ,1,0,1,2001,134,21,0,14797,303419,0,303419,302325,1093.58057,0.00000000,1473.04016,30268.6914,0.00000000,30268.6914,30221.2051,47.4858055
1,TEST01MZ,1,0,1,2001,135,22,0,14799,303391,0,303391,302319,1072.03870,0.00000000,1473.10083,30267.0352,0.00000000,30267.0352,30220.3457,46.6898117
1,TEST01MZ,1,0,1,2001,136,23,0,14801,303362,0,303362,302313,1049.89612,0.00000000,1473.14819,30265.3418,0.00000000,30265.3418,30219.4727,45.8692131
1,TEST01MZ,1,0,1,2001,137,24,0,14803,303334,0,303334,302305,1028.12158,0.00000000,1473.19727,30263.5684,0.00000000,30263.5684,30218.5137,45.0544319
1,TEST01MZ,1,0,1,2001,138,25,0,14805,303300,0,303300,302298,1002.32849,0.00000000,1473.25464,30261.5742,0.00000000,30261.5742,30217.4902,44.0838737
1,TEST01MZ,1,0,1,2001,139,26,0,14807,303269,0,303269,302289,979.760986,0.00000000,1473.28833,30259.5703,0.00000000,30259.5703,30216.3398,43.2297211
1,TEST01MZ,1,0,1,2001,140,27,0,14809,303236,0,303236,302279,957.157593,0.00000000,1473.32227,30257.4707,0.00000000,30257.4707,30215.1055,42.3653374
1,TEST01MZ,1,0,1,2001,141,28,0,14811,303201,0,303201,302270,931.347534,0.00000000,1473.36682,30255.2500,0.00000000,30255.2500,30213.8789,41.3717079
1,TEST01MZ,1,0,1,2001,142,29,0,14813,303168,0,303168,302260,907.544678,0.00000000,1473.41040,30253.0977,0.00000000,30253.0977,30212.6504,40.4464645
1,TEST01MZ,1,0,1,2001,143,30,0,14815,303135,0,303135,302251,884.208740,0.00000000,1473.45605,30250.9590,0.00000000,30250.9590,30211.4277,39.5320053
1,TEST01MZ,1,0,1,2001,144,31,0,14817,303103,0,303103,302241,861.641541,0.00000000,1473.50134,30248.8711,0.00000000,30248.8711,30210.2305,38.6408806
1,TEST01MZ,1,0,1,2001,145,32,0,14819,303072,0,303072,302232,840.615723,0.00000000,1473.54028,30246.8594,0.00000000,30246.8594,30209.0547,37.8048019
1,TEST01MZ,1,0,1,2001,146,33,0,14821,303041,0,303041,302222,818.322510,0.00000000,1473.57849,30244.7793,0.00000000,30244.7793,30207.8652,36.9137497
1,TEST01MZ,1,0,1,2001,147,34,0,14822,303007,0,303007,302212,794.904297,0.00000000,1473.61792,30242.5977,0.00000000,30242.5977,30206.6250,35.9716873
1,TEST01MZ,1,0,1,2001,148,35,0,14824,302975,0,302975,302202,772.778625,0.00000000,1473.65027,30240.4102,0.00000000,30240.4102,30205.3359,35.0748215
1,TEST01MZ,1,0,1,2001,149,36,0,14826,302941,0,302941,302191,750.128967,0.00000000,1473.68225,30238.1738,0.00000000,30238.1738,30204.0234,34.1509972
1,TEST01MZ,1,0,1,2001,150,37,0,14828,302908,0,302908,302180,727.335449,0.00000000,1473.71167,30235.8965,0.00000000,30235.8965,30202.6816,33.2153282
1,TEST01MZ,1,0,1,2001,151,38,0,14829,302878,0,302878,302168,710.064514,0.00000000,1473.71167,30233.7930,0.00000000,30233.7930,30201.2891,32.5034027
1,TEST01MZ,1,0,1,2001,152,39,0,14829,302851,0,302851,302156,695.154663,0.00000000,1473.70630,30231.7695,0.00000000,30231.7695,30199.8867,31.8836403
1,TEST01MZ,1,0,1,2001,153,40,0,14830,302823,0,302823,302144,679.828369,0.00000000,1473.70593,30229.7441,0.00000000,30229.7441,30198.5000,31.2432251
1,TEST01MZ,1,0,1,2001,154,41,0,14832,302793,0,302793,302132,661.198792,0.00000000,1473.71350,30227.5840,0.00000000,30227.5840,30197.1211,30.4627323
1,TEST01MZ,1,0,1,2001,155,42,0,14833,302764,0,302764,302120,643.979248,0.00000000,1473.71777,30225.4492,0.00000000,30225.4492,30195.7129,29.7365570
1,TEST01MZ,1,0,1,2001,156,43,0,14833,302737,0,302737,302107,629.716309,0.00000000,1473.70557,30223.4277,0.00000000,30223.4277,30194.2949,29.1335964
