RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,TS0D,TS1D,TS2D,TS3D,TS4D,TS5D,TS6D,TS7D,TS8D,TS9D
1,TEST01MZ,1,0,1,2001,114,1,22.8601799,22.7339993,22.3659992,21.7919998,21.1639996,20.5990009,19.8630009,19.0709991,18.4699993,18.0340004
1,TEST01MZ,1,0,1,2001,115,2,22.7458000,22.6250000,22.2740002,21.7250004,21.1219997,20.5760002,19.8600006,19.0809994,18.4799995,18.0359993
1,TEST01MZ,1,0,1,2001,116,3,21.4696007,21.3589993,21.0380001,20.5370007,19.9880009,19.4960003,18.8549995,18.1669998,17.6499996,17.2830009
1,TEST01MZ,1,0,1,2001,117,4,20.3257618,20.2250004,19.9309998,19.4740009,18.9759998,18.5310001,17.9580002,17.3540001,16.9130001,16.6140003
1,TEST01MZ,1,0,1,2001,118,5,20.2540417,20.1569996,19.8729992,19.4309998,18.9480000,18.5149994,17.9529991,17.3540001,16.9099998,16.6019993
1,TEST01MZ,1,0,1,2001,119,6,19.9676018,19.8740005,19.6030006,19.1800003,18.7169991,18.3010006,17.7600002,17.1819992,16.7520008,16.4519997
1,TEST01MZ,1,0,1,2001,120,7,20.4538212,20.3579998,20.0790005,19.6410007,19.1609993,18.7280006,18.1599998,17.5459995,17.0790005,16.7430000
1,TEST01MZ,1,0,1,2001,121,8,22.1449394,22.0359993,21.7189999,21.2199993,20.6690006,20.1660004,19.4990005,18.7609997,18.1790009,17.7369995
1,TEST01MZ,1,0,1,2001,122,9,23.6568985,23.5370007,23.1860008,22.6320000,22.0160007,21.4519997,20.6970005,19.8479996,19.1639996,18.6270008
1,TEST01MZ,1,0,1,2001,123,10,24.1875992,24.0639992,23.7010002,23.1289997,22.4909992,21.9050007,21.1180000,20.2299995,19.5090008,18.9370003
1,TEST01MZ,1,0,1,2001,124,11,24.8955612,24.7660007,24.3880005,23.7900009,23.1219997,22.5070000,21.6790009,20.7390003,19.9689999,19.3519993
1,TEST01MZ,1,0,1,2001,125,12,25.3946800,25.2619991,24.8740005,24.2590008,23.5720005,22.9379997,22.0820007,21.1049995,20.2999992,19.6499996
1,TEST01MZ,1,0,1,2001,126,13,25.6129189,25.4790001,25.0879993,24.4669991,23.7719994,23.1310005,22.2619991,21.2689991,20.4489994,19.7830009
1,TEST01MZ,1,0,1,2001,127,14,25.9478207,25.8120003,25.4130001,24.7800007,24.0720005,23.4160004,22.5279999,21.5100002,20.6650009,19.9759998
1,TEST01MZ,1,0,1,2001,128,15,26.0815620,25.9449997,25.5440006,24.9069996,24.1940002,23.5330009,22.6369991,21.6079998,20.7520008,20.0529995
1,TEST01MZ,1,0,1,2001,129,16,25.8963203,25.7619991,25.3680000,24.7420006,24.0400009,23.3889999,22.5060005,21.4920006,20.6469994,19.9570007
1,TEST01MZ,1,0,1,2001,130,17,25.0290184,24.9020004,24.5300007,23.9389992,23.2770004,22.6639996,21.8339996,20.8810005,20.0930004,19.4510002
1,TEST01MZ,1,0,1,2001,131,18,23.6908779,23.5750008,23.2350006,22.6949997,22.0919991,21.5349998,20.7819996,19.9260006,19.2229996,18.6599998
1,TEST01MZ,1,0,1,2001,132,19,21.9535980,21.8519993,21.5569992,21.0879993,20.5650005,20.0839996,19.4379997,18.7089996,18.1200008,17.6580009
1,TEST01MZ,1,0,1,2001,133,20,20.6477394,20.5580006,20.2950001,19.8799992,19.4169998,18.9930000,18.4260006,17.7929993,17.2889996,16.9020004
1,TEST01MZ,1,0,1,2001,134,21,19.6912384,19.6100006,19.3719997,18.9960003,18.5779991,18.1959991,17.6879997,17.1240005,16.6819992,16.3509998
1,TEST01MZ,1,0,1,2001,135,22,19.9354591,19.8530006,19.6110001,19.2290001,18.8029995,18.4130001,17.8920002,17.3120003,16.8540001,16.5060005
1,TEST01MZ,1,0,1,2001,136,23,21.1992760,21.1070004,20.8369999,20.4080009,19.9290009,19.4880009,18.8939991,18.2229996,17.6800003,17.2560005
1,TEST01MZ,1,0,1,2001,137,24,22.7926559,22.6879997,22.3829994,21.8969994,21.3519993,20.8460007,20.1609993,19.3770008,18.7299995,18.2089996
1,TEST01MZ,1,0,1,2001,138,25,24.5060368,24.3889999,24.0440006,23.4960003,22.8780003,22.3029995,21.5179996,20.6110001,19.8509998,19.2259998
1,TEST01MZ,1,0,1,2001,139,26,25.7392349,25.6119995,25.2369995,24.6399994,23.9659996,23.3379993,22.4780006,21.4790001,20.6350002,19.9360008
1,TEST01MZ,1,0,1,2001,140,27,26.0015144,25.8729992,25.4950008,24.8920002,24.2099991,23.5739994,22.7019997,21.6860008,20.8260002,20.1089993
1,TEST01MZ,1,0,1,2001,141,28,25.7660980,25.6399994,25.2700005,24.6790009,24.0109997,23.3880005,22.5330009,21.5349998,20.6910000,19.9869995
1,TEST01MZ,1,0,1,2001,142,29,25.6295586,25.5060005,25.1439991,24.5639992,23.9080009,23.2950001,22.4540005,21.4710007,20.6369991,19.9410000
1,TEST01MZ,1,0,1,2001,143,30,25.1032410,24.9850006,24.6389999,24.0839996,23.4570007,22.8700008,22.0639992,21.1229992,20.3250008,19.6590004
1,TEST01MZ,1,0,1,2001,144,31,24.5399590,24.4279995,24.0970001,23.5690002,22.9710007,22.4120007,21.6429996,20.7460003,19.9860001,19.3540001
1,TEST01MZ,1,0,1,2001,145,32,24.8434601,24.7299995,24.3950005,23.8589993,23.2530003,22.6840000,21.9020004,20.9860001,20.2070007,19.5559998
1,TEST01MZ,1,0,1,2001,146,33,25.7537193,25.6340008,25.2800007,24.7140007,24.0709991,23.4680004,22.6350002,21.6560001,20.8190002,20.1130009
1,TEST01MZ,1,0,1,2001,147,34,26.3847599,26.2609997,25.8950005,25.3080006,24.6420002,24.0160007,23.1499996,22.1289997,21.2509995,20.5070000
1,TEST01MZ,1,0,1,2001,148,35,26.8045197,26.6779995,26.3059998,25.7080002,25.0279999,24.3880005,23.5020008,22.4540005,21.5499992,20.7800007
1,TEST01MZ,1,0,1,2001,149,36,27.2606621,27.1320000,26.7509995,26.1399994,25.4449997,24.7889996,23.8810005,22.8029995,21.8700008,21.0739994
1,TEST01MZ,1,0,1,2001,150,37,27.4620590,27.3320007,26.9500008,26.3360004,25.6359997,24.9759998,24.0590000,22.9699993,22.0259991,21.2169991
1,TEST01MZ,1,0,1,2001,151,38,27.1463013,27.0200005,26.6469994,26.0470009,25.3640003,24.7189999,23.8230000,22.7590008,21.8360004,21.0450001
1,TEST01MZ,1,0,1,2001,152,39,26.9914818,26.8670006,26.5020008,25.9139996,25.2420006,24.6089993,23.7280006,22.6790009,21.7689991,20.9880009
1,TEST01MZ,1,0,1,2001,153,40,27.1941795,27.0699997,26.7029991,26.1130009,25.4389992,24.8020000,23.9150009,22.8570004,21.9360008,21.1439991
1,TEST01MZ,1,0,1,2001,154,41,27.3888397,27.2639999,26.8959999,26.3029995,25.6250000,24.9839993,24.0900002,23.0219994,22.0900002,21.2870007
1,TEST01MZ,1,0,1,2001,155,42,27.2411995,27.1189995,26.7579994,26.1760006,25.5109997,24.8810005,24.0020008,22.9500008,22.0300007,21.2360001
1,TEST01MZ,1,0,1,2001,156,43,27.3965569,27.2730007,26.9099998,26.3239994,25.6529999,25.0179996,24.1310005,23.0680008,22.1380005,21.3349991
1,TEST01MZ,1,0,1,2001,157,44,27.5731964,27.4500008,27.0849991,26.4969997,25.8239994,25.1849995,24.2919998,23.2210007,22.2819996,21.4680004
1,TEST01MZ,1,0,1,2001,158,45,27.3041344,27.1840000,26.8299999,26.2579994,25.6030006,24.9810009,24.1100006,23.0650005,22.1459999,21.3500004
1,TEST01MZ,1,0,1,2001,159,46,27.0995541,26.9829998,26.6389999,26.0820007,25.4430008,24.8360004,23.9860001,22.9619999,22.0620003,21.2789993
1,TEST01MZ,1,0,1,2001,160,47,27.1889954,27.0720005,26.7280006,26.1700001,25.5300007,24.9220009,24.0690002,23.0410004,22.1350002,21.3479996
1,TEST01MZ,1,0,1,2001,161,48,27.1306362,27.0149994,26.6739998,26.1219997,25.4869995,24.8840008,24.0359993,23.0149994,22.1140003,21.3299999
1,TEST01MZ,1,0,1,2001,162,49,27.1508141,27.0359993,26.6959991,26.1459999,25.5139999,24.9120007,24.0660000,23.0450001,22.1439991,21.3589993
1,TEST01MZ,1,0,1,2001,163,50,27.4293938,27.3129997,26.9689999,26.4120007,25.7709999,25.1599998,24.3020000,23.2630005,22.3449993,21.5440006
1,TEST01MZ,1,0,1,2001,164,51,27.4854546,27.3700008,27.0270004,26.4720001,25.8320007,25.2220001,24.3630009,23.3239994,22.4039993,21.6000004
1,TEST01MZ,1,0,1,2001,165,52,27.4040337,27.2900009,26.9519997,26.4039993,25.7730007,25.1700001,24.3209991,23.2919998,22.3799992,21.5809994
1,TEST01MZ,1,0,1,2001,166,53,27.1832161,27.0720005,26.7420006,26.2059994,25.5879993,24.9969997,24.1650009,23.1539993,22.2579994,21.4729996
1,TEST01MZ,1,0,1,2001,167,54,26.9959335,26.8859997,26.5610008,26.0340004,25.4249992,24.8430004,24.0219994,23.0240002,22.1399994,21.3659992
1,TEST01MZ,1,0,1,2001,168,55,26.9410553,26.8320007,26.5100002,25.9869995,25.3820000,24.8029995,23.9860001,22.9930000,22.1119995,21.3409996
1,TEST01MZ,1,0,1,2001,169,56,27.0514946,26.9430008,26.6219997,26.1000004,25.4960003,24.9169998,24.0990009,23.1040001,22.2180004,21.4419994
1,TEST01MZ,1,0,1,2001,170,57,27.1144524,27.0070000,26.6889992,26.1709995,25.5720005,24.9969997,24.1830006,23.1910000,22.3059998,21.5270004
1,TEST01MZ,1,0,1,2001,171,58,27.2961540,27.1879997,26.8680000,26.3470001,25.7430000,25.1630001,24.3409996,23.3369999,22.4410000,21.6520004
1,TEST01MZ,1,0,1,2001,172,59,27.3659744,27.2590008,26.9410000,26.4239998,25.8230000,25.2460003,24.4270000,23.4249992,22.5279999,21.7360001
1,TEST01MZ,1,0,1,2001,173,60,27.3238335,27.2189999,26.9080009,26.3999996,25.8110008,25.2430000,24.4360008,23.4459991,22.5580006,21.7730007
1,TEST01MZ,1,0,1,2001,174,61,27.3737755,27.2709999,26.9640007,26.4629993,25.8799992,25.3180008,24.5179996,23.5349998,22.6490002,21.8640003
1,TEST01MZ,1,0,1,2001,175,62,27.5659561,27.4629993,27.1569996,26.6569996,26.0739994,25.5119991,24.7099991,23.7210007,22.8290005,22.0349998
1,TEST01MZ,1,0,1,2001,176,63,27.7102318,27.6070004,27.2989998,26.7950001,26.2080002,25.6420002,24.8320007,23.8339996,22.9330006,22.1299992
1,TEST01MZ,1,0,1,2001,177,64,27.8645325,27.7639999,27.4640007,26.9740009,26.4009991,25.8470001,25.0520000,24.0690002,23.1749992,22.3729992
1,TEST01MZ,1,0,1,2001,178,65,28.0671329,27.9680004,27.6730003,27.1879997,26.6219997,26.0730000,25.2849998,24.3059998,23.4120007,22.6060009
1,TEST01MZ,1,0,1,2001,179,66,28.3490334,28.2500000,27.9549999,27.4720001,26.9050007,26.3560009,25.5660000,24.5799999,23.6790009,22.8630009
1,TEST01MZ,1,0,1,2001,180,67,28.5397911,28.4410000,28.1480007,27.6669998,27.1030006,26.5550003,25.7649994,24.7789993,23.8729992,23.0520000
1,TEST01MZ,1,0,1,2001,181,68,29.0535316,28.9529991,28.6529999,28.1609993,27.5839996,27.0219994,26.2129993,25.2000008,24.2689991,23.4209995
1,TEST01MZ,1,0,1,2001,182,69,29.4675503,29.3649998,29.0610008,28.5610008,27.9740009,27.4029999,26.5790005,25.5470009,24.5949993,23.7280006
1,TEST01MZ,1,0,1,2001,183,70,28.7864304,28.6910000,28.4080009,27.9410000,27.3920002,26.8560009,26.0809994,25.1070004,24.2059994,23.3820000
1,TEST01MZ,1,0,1,2001,184,71,28.1627941,28.0739994,27.8110008,27.3750000,26.8619995,26.3600006,25.6310005,24.7110004,23.8579998,23.0760002
1,TEST01MZ,1,0,1,2001,185,72,27.8212128,27.7360001,27.4820004,27.0620003,26.5650005,26.0779991,25.3700008,24.4740009,23.6429996,22.8799992
1,TEST01MZ,1,0,1,2001,186,73,27.0510139,26.9729996,26.7409992,26.3560009,25.8990002,25.4489994,24.7919998,23.9580002,23.1809998,22.4659996
1,TEST01MZ,1,0,1,2001,187,74,26.8629723,26.7889996,26.5680008,26.2010002,25.7630005,25.3320007,24.7010002,23.8950005,23.1410007,22.4449997
1,TEST01MZ,1,0,1,2001,188,75,27.7594128,27.6800003,27.4419994,27.0470009,26.5779991,26.1149998,25.4379997,24.5760002,23.7689991,23.0230007
1,TEST01MZ,1,0,1,2001,189,76,28.4803543,28.3959999,28.1439991,27.7259998,27.2299995,26.7409992,26.0270004,25.1170006,24.2649994,23.4769993
1,TEST01MZ,1,0,1,2001,190,77,28.7990704,28.7140007,28.4599991,28.0380001,27.5359993,27.0419998,26.3190002,25.3959999,24.5310001,23.7290001
1,TEST01MZ,1,0,1,2001,191,78,29.3346901,29.2479992,28.9869995,28.5550003,28.0419998,27.5359993,26.7940006,25.8479996,24.9580002,24.1320000
1,TEST01MZ,1,0,1,2001,192,79,29.2849503,29.2000008,28.9470005,28.5259991,28.0249996,27.5300007,26.8040009,25.8740005,24.9969997,24.1800003
1,TEST01MZ,1,0,1,2001,193,80,29.1561127,29.0739994,28.8299999,28.4220009,27.9360008,27.4540005,26.7469997,25.8369999,24.9769993,24.1739998
1,TEST01MZ,1,0,1,2001,194,81,28.9644737,28.8859997,28.6509991,28.2590008,27.7889996,27.3239994,26.6380005,25.7530003,24.9139996,24.1280003
