RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,PRED,CPRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD
1,TEST01MZ,1,0,1,2001,114,1,0.00000000,0.00000000,13.0070839,13.9472284,22.7000008,45.4000015,0.232530117,31.5000000,17.8999996,24.6096497,26.9979362,17.8999996,24.6096497,26.9979362,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,115,2,15.3999996,15.3999996,13.0354538,13.9777937,8.89999962,17.7999992,0.700243354,29.8999996,14.0000000,21.8509369,24.6481552,14.0000000,21.8509369,24.6481552,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,116,3,0.00000000,15.3999996,13.0635939,14.0081749,22.2000008,44.4000015,0.255079210,21.1000004,11.1000004,16.0417881,17.8041592,11.1000004,16.0417881,17.8041592,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,117,4,0.00000000,15.3999996,13.0914965,14.0383615,28.2999992,56.5999985,0.538573861E-1,25.7000008,7.90000010,16.7035961,19.8460655,7.90000010,16.7035961,19.8460655,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,118,5,0.00000000,15.3999996,13.1191530,14.0683432,27.6000004,55.2000008,0.805525780E-1,30.7000008,13.6000004,22.0642452,25.0882797,13.6000004,22.0642452,25.0882797,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,119,6,0.00000000,15.3999996,13.1465540,14.0981102,27.7000008,55.4000015,0.804412365E-1,31.1000004,15.3999996,23.1774960,25.9585972,15.3999996,23.1774960,25.9585972,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,120,7,0.00000000,15.3999996,13.1736898,14.1276493,25.7000008,51.4000015,0.149745762,32.4000015,16.2999992,24.2819672,27.1386070,16.2999992,24.2819672,27.1386070,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,121,8,0.00000000,15.3999996,13.2005520,14.1569510,15.1999998,30.3999996,0.498802185,31.3999996,17.7000008,24.4974213,26.9321384,17.7000008,24.4974213,26.9321384,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,122,9,0.400000006,15.7999992,13.2271299,14.1860046,19.2000008,38.4000015,0.368969500,29.6000004,19.0000000,24.2633801,26.1501484,19.0000000,24.2633801,26.1501484,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,123,10,3.70000005,19.5000000,13.2534161,14.2147961,15.8999996,31.7999992,0.479089499,30.0000000,19.5000000,24.7177048,26.5895615,19.5000000,24.7177048,26.5895615,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,124,11,0.00000000,19.5000000,13.2793999,14.2433176,21.6000004,43.2000008,0.294544160,32.7999992,20.7000008,26.7173061,28.8776627,20.7000008,26.7173061,28.8776627,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,125,12,0.00000000,19.5000000,13.3050718,14.2715530,8.30000019,16.6000004,0.729742885,31.6000004,22.0000000,26.7776031,28.4941483,22.0000000,26.7776031,28.4941483,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,126,13,9.80000019,29.2999992,13.3304224,14.2994928,12.0000000,24.0000000,0.610420823,28.5000000,22.7000008,25.5885849,26.6271648,22.7000008,25.5885849,26.6271648,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,127,14,12.0000000,41.2999992,13.3554411,14.3271255,19.2000008,38.4000015,0.378467619,29.7000008,22.2000008,25.9379272,27.2828274,22.2000008,25.9379272,27.2828274,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,128,15,0.00000000,41.2999992,13.3801193,14.3544369,19.1000004,38.2000008,0.383439183,30.7999992,20.0000000,25.3864346,27.3257675,20.0000000,25.3864346,27.3257675,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,129,16,6.90000010,48.2000008,13.4044447,14.3814163,17.3999996,34.7999992,0.439850807,30.7000008,20.8999996,25.7911053,27.5532551,20.8999996,25.7911053,27.5532551,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,130,17,20.1000004,68.3000031,13.4284096,14.4080496,7.09999990,14.1999998,0.772041202,30.2999992,14.6000004,22.4411335,25.2679005,14.6000004,22.4411335,25.2679005,86.4000015,370.600006,0.00000000,0.00000000
